epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3223.8,0.79246,1.73591,0.59837,0.94169,0.81539,0.73607,0.8331,0.68778,0.81884,0.69458,0.7933,0.39755,0.71274,4.79845,0.58934,0.90516,0.0001189,0.0001189,0.0001189
91,3249.28,0.74999,1.676,0.55591,0.91942,0.82546,0.72543,0.822,0.66955,0.79542,0.71219,0.78516,0.38973,0.72734,4.71164,0.60715,0.91205,0.000109,0.000109,0.000109
92,3273.95,0.73202,1.62283,0.5238,0.91119,0.82912,0.71756,0.82674,0.67914,0.80533,0.69763,0.78852,0.39185,0.72414,4.76575,0.59661,0.90941,9.91e-05,9.91e-05,9.91e-05
93,3299.3,0.72809,1.61932,0.52099,0.90714,0.79129,0.75415,0.82263,0.67539,0.76658,0.72936,0.78501,0.39479,0.72677,4.77635,0.60371,0.9116,8.92e-05,8.92e-05,8.92e-05
94,3324.36,0.72227,1.59011,0.51529,0.90873,0.7889,0.74469,0.82356,0.67615,0.76299,0.71257,0.78004,0.39271,0.71958,4.87921,0.60463,0.90837,7.93e-05,7.93e-05,7.93e-05
95,3350.05,0.71556,1.58231,0.50621,0.90237,0.76687,0.76559,0.8266,0.67832,0.78449,0.70484,0.78576,0.39479,0.72355,4.86779,0.60137,0.91164,6.94e-05,6.94e-05,6.94e-05
96,3375.58,0.71636,1.59051,0.4997,0.90285,0.7763,0.74297,0.81787,0.67089,0.7708,0.69578,0.77681,0.39138,0.71757,4.90596,0.60966,0.90845,5.95e-05,5.95e-05,5.95e-05
97,3400.96,0.7154,1.58655,0.50373,0.90448,0.79103,0.74596,0.81847,0.67221,0.79778,0.68929,0.77531,0.38953,0.71929,4.8915,0.61016,0.90832,4.96e-05,4.96e-05,4.96e-05
98,3426.62,0.70648,1.56415,0.49911,0.90342,0.80593,0.72619,0.82104,0.67344,0.79198,0.68802,0.77767,0.39122,0.71923,4.92429,0.60652,0.90904,3.97e-05,3.97e-05,3.97e-05
99,3452.57,0.71064,1.57467,0.49702,0.90156,0.80458,0.7344,0.81951,0.67375,0.77619,0.70786,0.77702,0.39062,0.71545,4.94787,0.60804,0.90734,2.98e-05,2.98e-05,2.98e-05
100,3478.65,0.70424,1.56583,0.49021,0.90089,0.79432,0.74026,0.82077,0.67674,0.76944,0.70893,0.77922,0.39306,0.71641,4.93861,0.60581,0.90846,1.99e-05,1.99e-05,1.99e-05
